,dataset,generator,metric_name,value
125,cyp1a2_veith_40,hiervae,cycle_distance_time,216.68876481056213
126,cyp1a2_veith_40,hiervae,neighborhood_distance,79.50376326578383
127,cyp1a2_veith_40,hiervae,neighborhood_distance_time,156.6719832420349
128,cyp1a2_veith_40,hiervae,neighborhood_distance_r=2,643.3347109912304
129,cyp1a2_veith_40,hiervae,neighborhood_distance_r=2_time,184.2651298046112
130,cyp1a2_veith_50,hiervae,node_edge_distance,511.41383425366314
131,cyp1a2_veith_50,hiervae,node_edge_distance_time,69.73545217514038
132,cyp1a2_veith_50,hiervae,unlabelled_graph_cycle_distance,1949.0832356760084
133,cyp1a2_veith_50,hiervae,unlabelled_graph_cycle_distance_time,54.708078145980835
134,cyp1a2_veith_50,hiervae,cycle_distance,725.2255708119433
135,cyp1a2_veith_50,hiervae,cycle_distance_time,55.55233359336853
136,cyp1a2_veith_50,hiervae,neighborhood_distance,891.5413623706334
137,cyp1a2_veith_50,hiervae,neighborhood_distance_time,67.33817386627197
138,cyp1a2_veith_50,hiervae,neighborhood_distance_r=2,287.18605822273855
139,cyp1a2_veith_50,hiervae,neighborhood_distance_r=2_time,97.71231818199158
140,cyp2c19_veith_25,hiervae,node_edge_distance,430.9388931566365
141,cyp2c19_veith_25,hiervae,node_edge_distance_time,29.377788066864014
142,cyp2c19_veith_25,hiervae,unlabelled_graph_cycle_distance,57.64345516215221
143,cyp2c19_veith_25,hiervae,unlabelled_graph_cycle_distance_time,22.861562490463257
144,cyp2c19_veith_25,hiervae,cycle_distance,333.162428972175
145,cyp2c19_veith_25,hiervae,cycle_distance_time,21.068487405776978
146,cyp2c19_veith_25,hiervae,neighborhood_distance,76.55513390120913
147,cyp2c19_veith_25,hiervae,neighborhood_distance_time,30.946403980255127
148,cyp2c19_veith_25,hiervae,neighborhood_distance_r=2,141.06626322827833
149,cyp2c19_veith_25,hiervae,neighborhood_distance_r=2_time,43.23370409011841
150,cyp2c19_veith_33,hiervae,node_edge_distance,111.07820162865332
151,cyp2c19_veith_33,hiervae,node_edge_distance_time,210.3186800479889
152,cyp2c19_veith_33,hiervae,unlabelled_graph_cycle_distance,201.99703802920868
153,cyp2c19_veith_33,hiervae,unlabelled_graph_cycle_distance_time,316.53701877593994
154,cyp2c19_veith_33,hiervae,cycle_distance,985.2229067070608
155,cyp2c19_veith_33,hiervae,cycle_distance_time,305.0488317012787
156,cyp2c19_veith_33,hiervae,neighborhood_distance,573.0162296698106
157,cyp2c19_veith_33,hiervae,neighborhood_distance_time,196.93259167671204
158,cyp2c19_veith_33,hiervae,neighborhood_distance_r=2,7004.62742913315
159,cyp2c19_veith_33,hiervae,neighborhood_distance_r=2_time,240.34440350532532
160,cyp2c19_veith_40,hiervae,node_edge_distance,87.87642355778331
161,cyp2c19_veith_40,hiervae,node_edge_distance_time,56.62181830406189
162,cyp2c19_veith_40,hiervae,unlabelled_graph_cycle_distance,16.972750146127662
163,cyp2c19_veith_40,hiervae,unlabelled_graph_cycle_distance_time,47.65548634529114
164,cyp2c19_veith_40,hiervae,cycle_distance,83.39964787627792
165,cyp2c19_veith_40,hiervae,cycle_distance_time,46.869856119155884
166,cyp2c19_veith_40,hiervae,neighborhood_distance,72.65520532476705
167,cyp2c19_veith_40,hiervae,neighborhood_distance_time,56.036433696746826
168,cyp2c19_veith_40,hiervae,neighborhood_distance_r=2,120.55458686946152
169,cyp2c19_veith_40,hiervae,neighborhood_distance_r=2_time,84.50115752220154
170,cyp2c19_veith_50,hiervae,node_edge_distance,1181.358935832412
171,cyp2c19_veith_50,hiervae,node_edge_distance_time,81.64476442337036
172,cyp2c19_veith_50,hiervae,unlabelled_graph_cycle_distance,501.39296302951084
173,cyp2c19_veith_50,hiervae,unlabelled_graph_cycle_distance_time,63.33959603309631
174,cyp2c19_veith_50,hiervae,cycle_distance,706.5320509792842
175,cyp2c19_veith_50,hiervae,cycle_distance_time,63.82163333892822
176,cyp2c19_veith_50,hiervae,neighborhood_distance,967.5713870101615
177,cyp2c19_veith_50,hiervae,neighborhood_distance_time,78.53194332122803
178,cyp2c19_veith_50,hiervae,neighborhood_distance_r=2,192.53511391630695
179,cyp2c19_veith_50,hiervae,neighborhood_distance_r=2_time,129.56811809539795
180,herg_karim_25,hiervae,node_edge_distance,318.4373383890326
181,herg_karim_25,hiervae,node_edge_distance_time,32.65711069107056
182,herg_karim_25,hiervae,unlabelled_graph_cycle_distance,307.08041420992066
183,herg_karim_25,hiervae,unlabelled_graph_cycle_distance_time,26.595158100128174
184,herg_karim_25,hiervae,cycle_distance,252.78560846063198
185,herg_karim_25,hiervae,cycle_distance_time,29.401417016983032
186,herg_karim_25,hiervae,neighborhood_distance,210.82081230371563
187,herg_karim_25,hiervae,neighborhood_distance_time,34.82762408256531
188,herg_karim_25,hiervae,neighborhood_distance_r=2,437.0092178521313
189,herg_karim_25,hiervae,neighborhood_distance_r=2_time,55.5426812171936
190,herg_karim_33,hiervae,node_edge_distance,225.01247127752026
191,herg_karim_33,hiervae,node_edge_distance_time,56.34837532043457
192,herg_karim_33,hiervae,unlabelled_graph_cycle_distance,70.43262505713226
193,herg_karim_33,hiervae,unlabelled_graph_cycle_distance_time,43.057270765304565
194,herg_karim_33,hiervae,cycle_distance,514.6207495482288
195,herg_karim_33,hiervae,cycle_distance_time,42.172370195388794
196,herg_karim_33,hiervae,neighborhood_distance,256.828858320423
197,herg_karim_33,hiervae,neighborhood_distance_time,54.34589982032776
198,herg_karim_33,hiervae,neighborhood_distance_r=2,261.3535006729495
199,herg_karim_33,hiervae,neighborhood_distance_r=2_time,85.96157312393188
200,herg_karim_40,hiervae,node_edge_distance,114.57712632199511
201,herg_karim_40,hiervae,node_edge_distance_time,66.72607064247131
202,herg_karim_40,hiervae,unlabelled_graph_cycle_distance,15.970636097672884
203,herg_karim_40,hiervae,unlabelled_graph_cycle_distance_time,55.231525182724
204,herg_karim_40,hiervae,cycle_distance,62.31729642434269
205,herg_karim_40,hiervae,cycle_distance_time,59.250208616256714
206,herg_karim_40,hiervae,neighborhood_distance,150.84645235907448
207,herg_karim_40,hiervae,neighborhood_distance_time,71.5811095237732
208,herg_karim_40,hiervae,neighborhood_distance_r=2,262.12484005543456
209,herg_karim_40,hiervae,neighborhood_distance_r=2_time,89.63952970504761
210,herg_karim_50,hiervae,node_edge_distance,238.2858766384939
211,herg_karim_50,hiervae,node_edge_distance_time,104.85347700119019
212,herg_karim_50,hiervae,unlabelled_graph_cycle_distance,100.0107736551283
213,herg_karim_50,hiervae,unlabelled_graph_cycle_distance_time,84.02017116546631
214,herg_karim_50,hiervae,cycle_distance,128.03521708974898
215,herg_karim_50,hiervae,cycle_distance_time,78.89261293411255
216,herg_karim_50,hiervae,neighborhood_distance,106.23408244596527
217,herg_karim_50,hiervae,neighborhood_distance_time,114.74387764930725
218,herg_karim_50,hiervae,neighborhood_distance_r=2,130.29866525383017
219,herg_karim_50,hiervae,neighborhood_distance_r=2_time,159.15044140815735
220,lipophilicity_astrazeneca_25,hiervae,node_edge_distance,9.036684125846804
221,lipophilicity_astrazeneca_25,hiervae,node_edge_distance_time,8.241471290588379
222,lipophilicity_astrazeneca_25,hiervae,unlabelled_graph_cycle_distance,5.942203515034659
223,lipophilicity_astrazeneca_25,hiervae,unlabelled_graph_cycle_distance_time,8.243601083755493
224,lipophilicity_astrazeneca_25,hiervae,cycle_distance,50.88222467978044
225,lipophilicity_astrazeneca_25,hiervae,cycle_distance_time,6.582442998886108
226,lipophilicity_astrazeneca_25,hiervae,neighborhood_distance,31.51501904383412
227,lipophilicity_astrazeneca_25,hiervae,neighborhood_distance_time,8.94868540763855
228,lipophilicity_astrazeneca_25,hiervae,neighborhood_distance_r=2,48.37031216266808
229,lipophilicity_astrazeneca_25,hiervae,neighborhood_distance_r=2_time,13.280401468276978
230,lipophilicity_astrazeneca_33,hiervae,node_edge_distance,1907.8063746670398
231,lipophilicity_astrazeneca_33,hiervae,node_edge_distance_time,80.28896498680115
232,lipophilicity_astrazeneca_33,hiervae,unlabelled_graph_cycle_distance,258.86239908476864
233,lipophilicity_astrazeneca_33,hiervae,unlabelled_graph_cycle_distance_time,124.84979796409607
234,lipophilicity_astrazeneca_33,hiervae,cycle_distance,39.4900864771449
235,lipophilicity_astrazeneca_33,hiervae,cycle_distance_time,128.7488374710083
236,lipophilicity_astrazeneca_33,hiervae,neighborhood_distance,41824.98413840084
237,lipophilicity_astrazeneca_33,hiervae,neighborhood_distance_time,79.08689522743225
238,lipophilicity_astrazeneca_33,hiervae,neighborhood_distance_r=2,32749.413375715947
239,lipophilicity_astrazeneca_33,hiervae,neighborhood_distance_r=2_time,97.10417604446411
240,lipophilicity_astrazeneca_40,hiervae,node_edge_distance,24.582542539727093
241,lipophilicity_astrazeneca_40,hiervae,node_edge_distance_time,17.4925754070282
242,lipophilicity_astrazeneca_40,hiervae,unlabelled_graph_cycle_distance,8.136444539088268
243,lipophilicity_astrazeneca_40,hiervae,unlabelled_graph_cycle_distance_time,20.60865306854248
244,lipophilicity_astrazeneca_40,hiervae,cycle_distance,49.99932381465848
245,lipophilicity_astrazeneca_40,hiervae,cycle_distance_time,19.81255555152893
246,lipophilicity_astrazeneca_40,hiervae,neighborhood_distance,24.833608370545527
247,lipophilicity_astrazeneca_40,hiervae,neighborhood_distance_time,17.607436656951904
248,lipophilicity_astrazeneca_40,hiervae,neighborhood_distance_r=2,12.334521601349064
249,lipophilicity_astrazeneca_40,hiervae,neighborhood_distance_r=2_time,25.422741651535034
250,lipophilicity_astrazeneca_50,hiervae,node_edge_distance,40.63732839366435
251,lipophilicity_astrazeneca_50,hiervae,node_edge_distance_time,14.696019887924194
252,lipophilicity_astrazeneca_50,hiervae,unlabelled_graph_cycle_distance,429.72719254101037
253,lipophilicity_astrazeneca_50,hiervae,unlabelled_graph_cycle_distance_time,16.519533395767212
254,lipophilicity_astrazeneca_50,hiervae,cycle_distance,209.73289669328466
255,lipophilicity_astrazeneca_50,hiervae,cycle_distance_time,16.599514722824097
256,lipophilicity_astrazeneca_50,hiervae,neighborhood_distance,73.04089852180805
257,lipophilicity_astrazeneca_50,hiervae,neighborhood_distance_time,12.278828382492065
258,lipophilicity_astrazeneca_50,hiervae,neighborhood_distance_r=2,49.46394044240836
259,lipophilicity_astrazeneca_50,hiervae,neighborhood_distance_r=2_time,20.43295454978943
260,ames_25,moflow,node_edge_distance,45.627299205294676
261,ames_25,moflow,node_edge_distance_time,15.312267303466797
262,ames_25,moflow,unlabelled_graph_cycle_distance,1.3159819364568484
263,ames_25,moflow,unlabelled_graph_cycle_distance_time,8.715521574020386
264,ames_25,moflow,cycle_distance,4.548743490542387
265,ames_25,moflow,cycle_distance_time,9.372062921524048
266,ames_25,moflow,neighborhood_distance,23.403538903816735
267,ames_25,moflow,neighborhood_distance_time,13.618229389190674
268,ames_25,moflow,neighborhood_distance_r=2,8.579847310898929
269,ames_25,moflow,neighborhood_distance_r=2_time,17.517849922180176
270,ames_33,moflow,node_edge_distance,57.327559617909905
271,ames_33,moflow,node_edge_distance_time,15.26606273651123
272,ames_33,moflow,unlabelled_graph_cycle_distance,4.527894754267338
273,ames_33,moflow,unlabelled_graph_cycle_distance_time,14.902944803237915
274,ames_33,moflow,cycle_distance,4.941507249907445
275,ames_33,moflow,cycle_distance_time,12.174821615219116
276,ames_33,moflow,neighborhood_distance,17.719750041058585
277,ames_33,moflow,neighborhood_distance_time,18.79053258895874
278,ames_33,moflow,neighborhood_distance_r=2,23.191130728692492
279,ames_33,moflow,neighborhood_distance_r=2_time,19.684760332107544
280,ames_40,moflow,node_edge_distance,41.46894624629407
281,ames_40,moflow,node_edge_distance_time,17.042476892471313
282,ames_40,moflow,unlabelled_graph_cycle_distance,0.9193116646272723
283,ames_40,moflow,unlabelled_graph_cycle_distance_time,14.528827428817749
284,ames_40,moflow,cycle_distance,9.577988758602004
285,ames_40,moflow,cycle_distance_time,16.0704607963562
286,ames_40,moflow,neighborhood_distance,49.640410449247746
287,ames_40,moflow,neighborhood_distance_time,20.57937455177307
288,ames_40,moflow,neighborhood_distance_r=2,7.504642509174441
289,ames_40,moflow,neighborhood_distance_r=2_time,18.823702096939087
290,ames_50,moflow,node_edge_distance,363.8073629865549
291,ames_50,moflow,node_edge_distance_time,28.00104832649231
292,ames_50,moflow,unlabelled_graph_cycle_distance,79.72290990676233
293,ames_50,moflow,unlabelled_graph_cycle_distance_time,19.807137489318848
294,ames_50,moflow,cycle_distance,30.38874307166534
295,ames_50,moflow,cycle_distance_time,25.753081560134888
296,ames_50,moflow,neighborhood_distance,175.43610890538827
297,ames_50,moflow,neighborhood_distance_time,27.16830801963806
298,ames_50,moflow,neighborhood_distance_r=2,115.49050092315079
299,ames_50,moflow,neighborhood_distance_r=2_time,35.645246744155884
300,bbb_martins_25,moflow,node_edge_distance,1946.71264849075
301,bbb_martins_25,moflow,node_edge_distance_time,9.193461894989014
302,bbb_martins_25,moflow,unlabelled_graph_cycle_distance,18.922587394315983
303,bbb_martins_25,moflow,unlabelled_graph_cycle_distance_time,7.381624937057495
304,bbb_martins_25,moflow,cycle_distance,inf
305,bbb_martins_25,moflow,cycle_distance_time,6.267055988311768
306,bbb_martins_25,moflow,neighborhood_distance,216.08979889501563
307,bbb_martins_25,moflow,neighborhood_distance_time,7.794727087020874
308,bbb_martins_25,moflow,neighborhood_distance_r=2,inf
309,bbb_martins_25,moflow,neighborhood_distance_r=2_time,9.172427654266357
310,bbb_martins_33,moflow,node_edge_distance,67.59733623994563
311,bbb_martins_33,moflow,node_edge_distance_time,6.254737138748169
312,bbb_martins_33,moflow,unlabelled_graph_cycle_distance,12.672710551312672
313,bbb_martins_33,moflow,unlabelled_graph_cycle_distance_time,6.301879644393921
314,bbb_martins_33,moflow,cycle_distance,2.82578443312007
315,bbb_martins_33,moflow,cycle_distance_time,6.777795314788818
316,bbb_martins_33,moflow,neighborhood_distance,143.35091647248933
317,bbb_martins_33,moflow,neighborhood_distance_time,6.948751449584961
318,bbb_martins_33,moflow,neighborhood_distance_r=2,58.453699561538286
319,bbb_martins_33,moflow,neighborhood_distance_r=2_time,6.5782790184021
320,bbb_martins_40,moflow,node_edge_distance,232.46133683221944
321,bbb_martins_40,moflow,node_edge_distance_time,14.717385530471802
322,bbb_martins_40,moflow,unlabelled_graph_cycle_distance,10.16119218194229
323,bbb_martins_40,moflow,unlabelled_graph_cycle_distance_time,14.127123832702637
324,bbb_martins_40,moflow,cycle_distance,3.382819585407645
325,bbb_martins_40,moflow,cycle_distance_time,14.451674222946167
326,bbb_martins_40,moflow,neighborhood_distance,173.09862240083245
327,bbb_martins_40,moflow,neighborhood_distance_time,13.872962951660156
328,bbb_martins_40,moflow,neighborhood_distance_r=2,24.16479003316415
329,bbb_martins_40,moflow,neighborhood_distance_r=2_time,25.940735816955566
330,bbb_martins_50,moflow,node_edge_distance,1108.9271448084896
331,bbb_martins_50,moflow,node_edge_distance_time,7.4360222816467285
332,bbb_martins_50,moflow,unlabelled_graph_cycle_distance,4.618350903643369
333,bbb_martins_50,moflow,unlabelled_graph_cycle_distance_time,5.914305210113525
334,bbb_martins_50,moflow,cycle_distance,5.909189401894861
335,bbb_martins_50,moflow,cycle_distance_time,7.844010353088379
336,bbb_martins_50,moflow,neighborhood_distance,143.03508278284596
337,bbb_martins_50,moflow,neighborhood_distance_time,9.823238849639893
338,bbb_martins_50,moflow,neighborhood_distance_r=2,117.70346654812556
339,bbb_martins_50,moflow,neighborhood_distance_r=2_time,8.610363006591797
340,cyp1a2_veith_25,moflow,node_edge_distance,94.30781878143077
341,cyp1a2_veith_25,moflow,node_edge_distance_time,14.15092396736145
342,cyp1a2_veith_25,moflow,unlabelled_graph_cycle_distance,31.119896806284647
343,cyp1a2_veith_25,moflow,unlabelled_graph_cycle_distance_time,13.873687744140625
344,cyp1a2_veith_25,moflow,cycle_distance,5.737997683696368
345,cyp1a2_veith_25,moflow,cycle_distance_time,11.475163698196411
346,cyp1a2_veith_25,moflow,neighborhood_distance,20.070295184987295
347,cyp1a2_veith_25,moflow,neighborhood_distance_time,13.44505524635315
348,cyp1a2_veith_25,moflow,neighborhood_distance_r=2,13.115285980647368
349,cyp1a2_veith_25,moflow,neighborhood_distance_r=2_time,19.52289867401123
350,cyp1a2_veith_33,moflow,node_edge_distance,352.4961855799808
351,cyp1a2_veith_33,moflow,node_edge_distance_time,19.840768337249756
352,cyp1a2_veith_33,moflow,unlabelled_graph_cycle_distance,87.19843340189117
353,cyp1a2_veith_33,moflow,unlabelled_graph_cycle_distance_time,19.892911911010742
354,cyp1a2_veith_33,moflow,cycle_distance,7.9188483695185665
355,cyp1a2_veith_33,moflow,cycle_distance_time,14.511923789978027
356,cyp1a2_veith_33,moflow,neighborhood_distance,64.44177710841413
357,cyp1a2_veith_33,moflow,neighborhood_distance_time,18.719685554504395
358,cyp1a2_veith_33,moflow,neighborhood_distance_r=2,9.591793046516631
359,cyp1a2_veith_33,moflow,neighborhood_distance_r=2_time,28.049374103546143
360,cyp1a2_veith_40,moflow,node_edge_distance,301.97080339635414
361,cyp1a2_veith_40,moflow,node_edge_distance_time,17.272897005081177
362,cyp1a2_veith_40,moflow,unlabelled_graph_cycle_distance,972.2683228346341
363,cyp1a2_veith_40,moflow,unlabelled_graph_cycle_distance_time,19.652456998825073
364,cyp1a2_veith_40,moflow,cycle_distance,6.991870555289686
365,cyp1a2_veith_40,moflow,cycle_distance_time,21.261549711227417
366,cyp1a2_veith_40,moflow,neighborhood_distance,138.45178508527533
367,cyp1a2_veith_40,moflow,neighborhood_distance_time,19.480215311050415
368,cyp1a2_veith_40,moflow,neighborhood_distance_r=2,14.505703973089613
369,cyp1a2_veith_40,moflow,neighborhood_distance_r=2_time,21.672813415527344
370,cyp1a2_veith_50,moflow,node_edge_distance,473.9647686402687
371,cyp1a2_veith_50,moflow,node_edge_distance_time,30.612225770950317
372,cyp1a2_veith_50,moflow,unlabelled_graph_cycle_distance,338.47355645965007
373,cyp1a2_veith_50,moflow,unlabelled_graph_cycle_distance_time,25.334911584854126
374,cyp1a2_veith_50,moflow,cycle_distance,23.964134346564624
375,cyp1a2_veith_50,moflow,cycle_distance_time,15.547135353088379
376,cyp1a2_veith_50,moflow,neighborhood_distance,73.05700049155291
377,cyp1a2_veith_50,moflow,neighborhood_distance_time,25.757410049438477
378,cyp1a2_veith_50,moflow,neighborhood_distance_r=2,60.08364941498748
379,cyp1a2_veith_50,moflow,neighborhood_distance_r=2_time,30.426609992980957
380,cyp2c19_veith_25,moflow,node_edge_distance,136.39920819428514
381,cyp2c19_veith_25,moflow,node_edge_distance_time,13.627811193466187
382,cyp2c19_veith_25,moflow,unlabelled_graph_cycle_distance,42.20836787755637
383,cyp2c19_veith_25,moflow,unlabelled_graph_cycle_distance_time,12.634909391403198
384,cyp2c19_veith_25,moflow,cycle_distance,18.865428683054848
385,cyp2c19_veith_25,moflow,cycle_distance_time,8.894840478897095
386,cyp2c19_veith_25,moflow,neighborhood_distance,53.6876371347154
