,dataset,generator,metric_name,value
151,ames_40,stgg,node_edge_distance_time,658.1158287525177
152,ames_40,stgg,unlabelled_graph_cycle_distance,1.8045042201613035
153,ames_40,stgg,unlabelled_graph_cycle_distance_time,471.69478726387024
154,ames_40,stgg,cycle_distance,5.607998930542674
155,ames_40,stgg,cycle_distance_time,464.2441306114197
156,ames_40,stgg,neighborhood_distance,49.51220605508571
157,ames_40,stgg,neighborhood_distance_time,636.9890809059143
158,ames_40,stgg,neighborhood_distance_r=2,42.83183539836652
159,ames_40,stgg,neighborhood_distance_r=2_time,993.582358121872
160,ames_40,gdss,node_edge_distance,514.777543854919
161,ames_40,gdss,node_edge_distance_time,520.9573075771332
162,ames_40,gdss,unlabelled_graph_cycle_distance,999.1488354525443
163,ames_40,gdss,unlabelled_graph_cycle_distance_time,369.0726089477539
164,ames_40,gdss,cycle_distance,655.9940818927222
165,ames_40,gdss,cycle_distance_time,366.5759086608887
166,ames_40,gdss,neighborhood_distance,813.3078656319938
167,ames_40,gdss,neighborhood_distance_time,504.9424467086792
168,ames_40,gdss,neighborhood_distance_r=2,1003.9778805277091
169,ames_40,gdss,neighborhood_distance_r=2_time,759.0158648490906
170,ames_40,jtnn,node_edge_distance,88.87891595261227
171,ames_40,jtnn,node_edge_distance_time,470.3828544616699
172,ames_40,jtnn,unlabelled_graph_cycle_distance,98.6224939025431
173,ames_40,jtnn,unlabelled_graph_cycle_distance_time,334.63424587249756
174,ames_40,jtnn,cycle_distance,86.33807755418327
175,ames_40,jtnn,cycle_distance_time,329.68020510673523
176,ames_40,jtnn,neighborhood_distance,273.00138968476836
177,ames_40,jtnn,neighborhood_distance_time,455.14992570877075
178,ames_40,jtnn,neighborhood_distance_r=2,161.78177545748144
179,ames_40,jtnn,neighborhood_distance_r=2_time,691.1243567466736
180,bbb_martins_25,hiervae,node_edge_distance,199.880850433271
181,bbb_martins_25,hiervae,node_edge_distance_time,126.29508543014526
182,bbb_martins_25,hiervae,unlabelled_graph_cycle_distance,30.141281860225916
183,bbb_martins_25,hiervae,unlabelled_graph_cycle_distance_time,92.17588973045349
184,bbb_martins_25,hiervae,cycle_distance,28.270055887462345
185,bbb_martins_25,hiervae,cycle_distance_time,90.54882550239563
186,bbb_martins_25,hiervae,neighborhood_distance,111.42809058132066
187,bbb_martins_25,hiervae,neighborhood_distance_time,125.52783536911011
188,bbb_martins_25,hiervae,neighborhood_distance_r=2,59.835971654586984
189,bbb_martins_25,hiervae,neighborhood_distance_r=2_time,191.71461725234985
190,bbb_martins_25,moflow,node_edge_distance,351.4192925257859
191,bbb_martins_25,moflow,node_edge_distance_time,109.56685996055603
192,bbb_martins_25,moflow,unlabelled_graph_cycle_distance,317.89326541878785
193,bbb_martins_25,moflow,unlabelled_graph_cycle_distance_time,77.77286148071289
194,bbb_martins_25,moflow,cycle_distance,345.5751626287468
195,bbb_martins_25,moflow,cycle_distance_time,76.67620301246643
196,bbb_martins_25,moflow,neighborhood_distance,124.87472776643048
197,bbb_martins_25,moflow,neighborhood_distance_time,103.86870050430298
198,bbb_martins_25,moflow,neighborhood_distance_r=2,137.3667913678271
199,bbb_martins_25,moflow,neighborhood_distance_r=2_time,160.39063096046448
200,bbb_martins_25,wgan,node_edge_distance,721.5403594873586
201,bbb_martins_25,wgan,node_edge_distance_time,88.60683989524841
202,bbb_martins_25,wgan,unlabelled_graph_cycle_distance,121.58168074755014
